artist_mbid,date_uts,date_#text,artist,album,song,week
b2d122f9-eadb-4930-a196-8f221eeb0c66,1607131852,"05 Dec 2020, 01:30",Rammstein,"Reise, Reise","Reise, Reise",2657
1e32c30b-ae23-4a7e-9cb7-5b6bc64002ef,1607111587,"04 Dec 2020, 19:53",ABBA,Arrival,Fernando,2657
1e32c30b-ae23-4a7e-9cb7-5b6bc64002ef,1607110557,"04 Dec 2020, 19:35",ABBA,Arrival,Arrival,2657
1e32c30b-ae23-4a7e-9cb7-5b6bc64002ef,1607110382,"04 Dec 2020, 19:33",ABBA,Arrival,Tiger,2657
,1607110181,"04 Dec 2020, 19:29",ABBA,Arrival,Why Did It Have to Be Me?,2657
1e32c30b-ae23-4a7e-9cb7-5b6bc64002ef,1607109986,"04 Dec 2020, 19:26",ABBA,Arrival,That's Me,2657
1e32c30b-ae23-4a7e-9cb7-5b6bc64002ef,1607109799,"04 Dec 2020, 19:23",ABBA,Arrival,"Money, Money, Money",2657
1e32c30b-ae23-4a7e-9cb7-5b6bc64002ef,1607109497,"04 Dec 2020, 19:18",ABBA,Arrival,"Knowing Me, Knowing You",2657
1e32c30b-ae23-4a7e-9cb7-5b6bc64002ef,1607109323,"04 Dec 2020, 19:15",ABBA,Arrival,Dum Dum Diddle,2657
1e32c30b-ae23-4a7e-9cb7-5b6bc64002ef,1607109092,"04 Dec 2020, 19:11",ABBA,Arrival,"My Love, My Life",2657
1e32c30b-ae23-4a7e-9cb7-5b6bc64002ef,1607108862,"04 Dec 2020, 19:07",ABBA,Arrival,Dancing Queen,2657
1e32c30b-ae23-4a7e-9cb7-5b6bc64002ef,1607108410,"04 Dec 2020, 19:00",ABBA,Arrival,When I Kissed the Teacher,2657
,1607002653,"03 Dec 2020, 13:37",Charles Webster,Decision Time,The Second Spell,2657
,1607002019,"03 Dec 2020, 13:26",Charles Webster,Decision Time,The Spell,2657
,1607001595,"03 Dec 2020, 13:19",Charles Webster,Decision Time,Secrets Held,2657
,1607001272,"03 Dec 2020, 13:14",Charles Webster,Decision Time,Wait And See,2657
,1607001039,"03 Dec 2020, 13:10",Charles Webster,Decision Time,Music,2657
,1607000673,"03 Dec 2020, 13:04",Charles Webster,Decision Time,I Wonder Why,2657
,1607000095,"03 Dec 2020, 12:54",Charles Webster,Decision Time,Love Lives,2657
,1606999789,"03 Dec 2020, 12:49",Charles Webster,Decision Time,We Belong Together,2657
,1606999396,"03 Dec 2020, 12:43",Charles Webster,Decision Time,This Is Real,2657
